3884	3903N	10	11108	36	1
3884	6476C	999	11108	2	3
3909	0509B	140	11108	8	2
3909	1172P	146	11108	4	3
4036	1278P	805	11108	61	3
4300	6983C	290	11108	14	1
4300	0287B	120	11108	6	2
4300	6947C	249	11108	4	2
4300	6983C	290	11108	4	3
4453	1139P	930	11108	28	1
4453	1130P	930	11108	12	3
3753	6947C	991	11108	64	3
3942	1139P	100	11108	56	2
3944	0287B	100	11108	40	2
3944	1130P	295	11108	12	3
4170	1130P	250	11108	64	3
4320	6947C	981	11108	28	1
4320	6947C	981	11108	32	3
4329	7158C	930	11108	1	2
3545	0287B	120	11108	43	2
3836	1139P	100	11108	56	3
4371	1278P	930	11108	21	1
4371	1139P	930	11108	27	2
4718	1278P	805	11108	56	2
4812	6983C	290	11108	20	2
4812	1028P	111	11108	23	3
4821	1130P	130	11108	1	1
4821	0344B	950	11108	4	1
4821	0287B	120	11108	7	2
4821	0287B	100	11108	8	3
3398	1278P	910	11108	31	1
3398	1278P	910	11108	23	2
3398	1278P	910	11108	31	3
3436	3903N	10	11108	8	1
3436	3903N	10	11108	4	2
4082	3907N	10	11108	62	1
4082	3907N	10	11108	60	3
4103	0244B	930	11108	2	1
4103	0244B	930	11108	15	2
4103	1139P	930	11108	4	3
4123	8030P	300	11108	21	2
4123	8030P	300	11108	27	3
4125	9510Q	01	11108	56	2
4143	7158C	910	11108	32	3
4567	1139P	110	11108	16	2
4585	7158C	105	11108	4	1
4585	6947C	139	11108	8	2
4585	6983C	290	11108	12	3
4898	6947C	965	11108	48	2
4927	9526Q	04	11108	8	1
4927	9526Q	04	11108	8	3
4940	6983C	190	11108	64	3
5526	5058Z	05	11108	24	1
5526	0080B	251	11108	5	1
5526	5058Z	05	11108	30	2
5526	5058Z	06	11108	8	3
4692	6983C	930	11108	61	3
4699	9590Q	61	11108	3	1
4699	9590Q	61	11108	3	3
4699	1130P	295	11108	2	3
5068	1172P	112	11108	8	2
5068	1278P	910	11108	48	3
5091	3903N	10	11108	28	1
5091	3907N	10	11108	16	2
5091	0083B	240	11108	8	3
5180	1139P	910	11108	10	1
5180	1139P	910	11108	9	2
5180	1130P	910	11108	8	3
5191	1139P	100	11108	64	3
4838	1139P	100	11108	64	3
4867	1222P	910	11108	35	1
4867	1028P	910	11108	12	2
5023	0287B	100	11108	56	1
5023	3907N	10	11108	3	3
5386	1130P	105	11108	56	2
6112	5058Z	03	11108	8	1
6112	9722K	34	11108	3	2
6112	3781N	10	11108	24	3
3884	0244B	910	11108	12	2
3884	3903N	10	11108	56	3
3909	0287B	120	11108	37	2
3909	0287B	120	11108	26	3
4036	9590Q	61	11108	3	1
4281	7914C	101	11108	56	2
4300	0344B	120	11108	12	1
4300	0080B	202	11108	2	1
4300	6983C	290	11108	12	2
4300	6947C	249	11108	4	3
4453	1139P	930	11108	32	2
3753	6947C	991	11108	60	1
3944	6947C	299	11108	16	1
3944	3903N	10	11108	30	3
4170	1130P	250	11108	60	1
4182	1130P	105	11108	56	2
4320	6947C	981	11108	28	2
4329	7158C	930	11108	2	1
4329	7158C	930	11108	2	3
3545	1130P	252	11108	4	1
3545	0287B	120	11108	56	3
3836	1139P	100	11108	64	1
4371	0509B	930	11108	4	1
4371	1130P	930	11108	2	2
4371	1278P	930	11108	33	3
4718	1278P	805	11108	21	1
4718	0287B	110	11108	16	3
4812	1028P	111	11108	16	1
4812	1222P	111	11108	17	2
4821	1278P	805	11108	7	1
4821	1139P	150	11108	26	1
4821	1139P	100	11108	8	2
4821	1139P	150	11108	17	3
3398	0287B	100	11108	4	1
3398	0287B	100	11108	3	2
3398	0287B	100	11108	4	3
3436	0080B	105	11108	8	1
3436	0343B	500	11108	8	2
3436	0507B	100	11108	19	3
4082	3907N	10	11108	45	2
4103	6947C	930	11108	27	1
4103	6947C	930	11108	20	2
4103	6983C	930	11108	24	3
4123	8627C	300	11108	12	1
4123	1278P	810	11108	4	2
4123	3907N	10	11108	20	3
4143	7158C	910	11108	64	1
4567	1139P	100	11108	64	1
4585	6983C	110	11108	12	1
4585	1130P	250	11108	10	2
4585	0287B	100	11108	20	2
4585	0287B	100	11108	19	3
4927	9526Q	04	11108	8	2
4940	6983C	295	11108	64	1
5526	5058Z	07	11108	8	1
5526	0509B	150	11108	12	2
5526	0080B	251	11108	6	2
5526	0080B	251	11108	8	3
4692	6983C	931	11108	64	1
4699	0344B	100	11108	18	1
4699	0287B	100	11108	5	2
4699	0287B	120	11108	12	3
5068	1172P	112	11108	4	1
5068	0344B	100	11108	4	2
5091	3907N	10	11108	12	1
5091	0287B	100	11108	28	3
5180	0233B	300	11108	21	1
5180	0233B	300	11108	14	2
5180	0233B	300	11108	18	3
5191	1139P	100	11108	56	1
4838	1139P	100	11108	64	1
4867	1222P	910	11108	16	2
4867	1222P	910	11108	16	3
5023	9722K	34	11108	28	2
5023	9722K	34	11108	8	3
5312	1130P	105	11108	56	2
6112	1028P	E10	11108	3	1
6112	9590Q	61	11108	3	1
3884	0244B	910	11108	8	1
3884	0244B	910	11108	4	3
3909	0287B	100	11108	60	1
3909	1172P	146	11108	4	2
4036	1278P	805	11108	53	1
4036	9590Q	61	11108	3	3
4281	7914C	101	11108	64	1
4300	6947C	249	11108	6	1
4300	0344B	120	11108	6	2
4300	0080B	202	11108	28	3
4300	0083B	270	11108	4	3
4453	1130P	930	11108	24	2
3942	1139P	100	11108	64	3
3944	3903N	10	11108	16	2
3944	0287B	100	11108	4	3
4182	1130P	105	11108	56	1
4320	6947C	981	11108	28	1
4320	6947C	999	11108	29	3
4329	9510Q	90	11108	62	1
4329	9510Q	90	11108	60	3
3545	0287B	120	11108	51	1
3545	1130P	252	11108	4	2
4371	1139P	930	11108	20	1
4371	1130P	930	11108	6	3
4718	0287B	110	11108	40	1
4718	1278P	805	11108	45	3
4812	6983C	290	11108	21	1
4812	1028P	111	11108	17	2
4812	1222P	111	11108	23	3
4821	0287B	120	11108	11	1
4821	1278P	920	11108	11	1
4821	1130P	130	11108	1	2
4821	1278P	805	11108	27	3
3398	0080B	910	11108	25	1
3398	0080B	910	11108	19	2
3398	0080B	910	11108	25	3
3436	0287B	100	11108	32	1
3436	0080B	105	11108	34	2
3436	0080B	105	11108	16	3
4082	9521Q	10	11108	2	1
4082	9521Q	10	11108	4	3
4103	6476C	930	11108	6	1
4103	6983C	931	11108	21	2
4103	6947C	930	11108	29	3
4123	8030P	300	11108	24	1
4123	8627C	300	11108	10	2
4123	8627C	300	11108	15	3
4125	9510Q	01	11108	64	3
4567	1139P	100	11108	64	3
4585	6947C	139	11108	12	1
4585	0287B	100	11108	24	1
4585	7158C	105	11108	7	2
4585	1130P	250	11108	15	3
4898	6947C	965	11108	56	3
4927	1139P	100	11108	56	1
4927	1139P	100	11108	55	3
5526	5058Z	06	11108	11	1
5526	9590Q	61	11108	3	1
5526	5058Z	06	11108	4	2
5526	5058Z	07	11108	2	3
4699	0344B	100	11108	51	2
4699	0287B	100	11108	4	3
4699	0080B	271	11108	8	3
5068	1278P	910	11108	40	2
5091	0287B	100	11108	21	1
5091	0287B	100	11108	17	2
5091	3903N	10	11108	4	3
5180	1130P	910	11108	9	1
5180	1130P	910	11108	7	2
5180	1139P	910	11108	11	3
4867	1028P	910	11108	24	1
4867	1222P	910	11108	12	2
5023	0287B	100	11108	16	2
5023	9521Q	10	11108	13	3
5312	1130P	105	11108	64	1
5386	1130P	105	11108	64	3
6112	3907N	10	11108	24	1
6112	3781N	10	11108	6	1
3884	3907N	10	11108	20	1
3884	3903N	10	11108	44	2
3909	0287B	100	11108	4	2
3909	1130P	295	11108	24	3
4036	1278P	805	11108	48	2
4281	7914C	101	11108	64	3
4300	0287B	120	11108	22	1
4300	0080B	202	11108	24	2
4300	0083B	270	11108	4	2
4300	0287B	120	11108	16	3
4453	1130P	930	11108	32	1
4453	1139P	930	11108	51	3
3753	6947C	991	11108	56	2
3942	1139P	100	11108	64	1
3944	0287B	100	11108	48	1
3944	6947C	299	11108	2	3
4170	1130P	250	11108	56	2
4182	1130P	105	11108	64	3
4320	6947C	999	11108	28	2
4329	9510Q	90	11108	53	2
3545	3781N	10	11108	4	1
3545	1130P	252	11108	8	3
3836	1139P	100	11108	56	2
4371	1130P	930	11108	3	1
4371	1278P	930	11108	27	2
4371	1139P	930	11108	22	3
4718	9590Q	61	11108	3	1
4718	9590Q	61	11108	3	3
4812	1222P	111	11108	16	1
4812	6983C	290	11108	8	3
4821	1139P	150	11108	1	1
4821	1130P	254	11108	2	1
4821	1278P	805	11108	40	2
4821	1130P	250	11108	9	3
4821	9722K	34	11108	3	3
3398	0344B	100	11108	4	1
3398	0344B	100	11108	3	2
3398	0344B	100	11108	4	3
3436	0406B	501	11108	16	1
3436	0507B	100	11108	4	2
3436	0376B	860	11108	28	3
4082	9521Q	10	11108	2	2
4103	6983C	930	11108	27	1
4103	0244B	930	11108	7	3
4123	3907N	10	11108	16	1
4123	3907N	10	11108	15	2
4125	9510Q	01	11108	64	1
4143	7158C	910	11108	56	2
4567	1139P	100	11108	40	2
4585	1130P	250	11108	12	1
4585	6983C	290	11108	8	2
4585	6947C	139	11108	12	3
4585	7158C	107	11108	6	3
4898	6947C	965	11108	56	1
4927	1139P	100	11108	48	2
4940	6983C	295	11108	54	2
5526	0509B	150	11108	12	1
5526	5058Z	04	11108	2	2
5526	5058Z	05	11108	46	3
4692	6983C	931	11108	54	2
4699	0287B	100	11108	43	1
4699	0344B	100	11108	27	3
4699	0287B	100	11108	8	3
5068	1278P	910	11108	60	1
5068	1172P	112	11108	16	3
5091	3903N	10	11108	8	2
5091	3907N	10	11108	24	3
5180	1278P	805	11108	24	1
5180	1278P	805	11108	26	2
5180	1278P	805	11108	27	3
5191	1139P	100	11108	48	2
4838	1139P	100	11108	56	2
4867	1028P	910	11108	16	2
4867	1028P	910	11108	48	3
5023	0287B	100	11108	40	3
5312	1130P	105	11108	56	3
5386	1130P	105	11108	64	1
6112	5049Z	04	11108	20	1
6112	5049Z	08	11108	13	2
6112	5058Z	03	11108	8	3
5853	0287B	120	11108	41	2
6010	0080B	153	11108	8	1
6010	9582Q	45	11108	6	2
6010	6947C	199	11108	21	3
6014	0287B	110	11108	41	1
6014	0287B	110	11108	36	3
6035	0344B	120	11108	44	1
6035	0344B	120	11108	48	3
6877	6983C	911	11108	40	1
6877	0080B	101	11108	16	3
6914	1130P	252	11108	5	1
6914	0287B	120	11108	32	1
6914	0344B	120	11108	40	3
6923	9582Q	45	11108	2	1
6923	1028P	920	11108	22	2
6923	9521Q	21	11108	4	3
5614	1139P	100	11108	56	2
5621	1130P	252	11108	7	1
5621	1139P	120	11108	3	1
5621	0344B	120	11108	15	2
5621	1222P	114	11108	3	3
5638	1139P	100	11108	60	3
6216	1278P	810	11108	15	1
6216	1278P	810	11108	10	2
6216	1130P	250	11108	4	3
6220	1139P	100	11108	56	2
6799	1139P	100	11108	64	3
6812	0080B	920	11108	20	1
6812	9722K	34	11108	17	2
6812	5058Z	03	11108	8	3
6825	1278P	810	11108	39	2
6825	3903N	10	11108	7	3
6846	0080B	930	11108	8	1
6846	1028P	930	11108	26	2
6846	1222P	930	11108	18	3
6988	0080B	910	11108	56	2
6988	9521Q	10	11108	4	3
6997	0429B	110	11108	8	3
6998	0287B	110	11108	19	2
6998	0287B	110	11108	48	3
7209	7914C	101	11108	64	3
7291	5058Z	06	11108	64	1
8026	0344B	120	11108	24	1
8026	0344B	120	11108	20	2
8026	0344B	120	11108	16	3
8056	1130P	250	11108	4	2
8056	1278P	810	11108	6	3
7615	0287B	100	11108	40	1
7615	1130P	250	11108	22	3
7659	0376B	610	11108	17	1
7659	0287B	120	11108	10	2
7659	0344B	120	11108	34	3
7809	0404B	701	11108	8	1
7809	0506B	100	11108	28	2
7809	0404B	701	11108	4	3
7809	0399B	140	11108	8	3
7897	1278P	920	11108	64	1
7899	0287B	110	11108	22	1
7899	0287B	110	11108	14	2
7457	0244B	920	11108	7	1
7457	0287B	110	11108	37	2
7457	0287B	110	11108	35	3
7458	0509B	110	11108	10	2
7514	8030P	300	11108	14	1
7514	0287B	110	11108	26	2
7514	0287B	110	11108	4	3
7596	9521Q	30	11108	24	1
7596	9521Q	30	11108	24	2
7596	9521Q	30	11108	24	3
7346	1278P	805	11108	20	2
7346	3903N	10	11108	7	3
7382	0096B	150	11108	6	1
7382	1278P	810	11108	8	2
7382	1278P	920	11108	32	3
7383	0287B	100	11108	24	1
7383	0405B	140	11108	10	2
7383	0287B	100	11108	12	3
7383	1278P	810	11108	8	3
7394	0287B	100	11108	59	1
7400	8030P	300	11108	4	1
7400	8030P	300	11108	2	3
6112	5058Z	07	11108	4	3
5853	0376B	600	11108	16	1
5853	0376B	600	11108	5	3
6010	3903N	10	11108	24	1
6010	3903N	10	11108	20	2
6010	0080B	153	11108	7	3
6014	1172P	112	11108	20	2
6035	1028P	111	11108	12	1
6035	1028P	111	11108	14	3
6877	0080B	101	11108	16	1
6877	7914C	100	11108	28	3
6914	6947C	249	11108	7	1
6914	1130P	252	11108	8	2
6914	3781N	10	11108	4	3
6923	1028P	920	11108	3	1
6923	1222P	118	11108	25	2
6923	1222P	118	11108	23	3
6923	3903N	10	11108	1	3
5614	1139P	100	11108	56	1
5621	0509B	130	11108	11	1
5621	1278P	805	11108	5	1
5621	1139P	120	11108	10	2
5621	0344B	120	11108	31	3
5638	1139P	100	11108	39	2
6216	0344B	100	11108	35	1
6216	0344B	100	11108	24	2
6216	1278P	810	11108	9	3
6220	1139P	100	11108	64	1
6799	1139P	100	11108	56	2
6812	5058Z	03	11108	3	1
6812	0287B	110	11108	2	2
6812	3907N	10	11108	44	3
6812	0496B	401	11108	4	3
6825	3907N	10	11108	8	1
6825	1278P	810	11108	44	3
6846	0080B	930	11108	11	2
6846	1028P	930	11108	25	3
6988	3781N	10	11108	14	1
6988	0080B	910	11108	45	3
6997	0287B	110	11108	36	3
6998	0429B	120	11108	8	1
6998	5058Z	10	11108	10	2
7209	7914C	101	11108	48	2
7291	5058Z	06	11108	48	3
8026	0287B	120	11108	16	1
8026	3907N	10	11108	20	2
8026	3907N	10	11108	48	3
8056	1130P	250	11108	46	3
7615	0287B	100	11108	30	2
7659	3907N	10	11108	8	1
7659	3907N	10	11108	10	2
7659	0376B	610	11108	4	3
7809	1278P	810	11108	4	2
7809	1278P	810	11108	12	3
7809	3903N	10	11108	8	3
7899	0429B	120	11108	30	1
7899	0429B	120	11108	22	2
7899	0287B	110	11108	8	3
7457	0429B	110	11108	14	1
7457	0244B	920	11108	4	3
7458	1130P	250	11108	46	2
7458	1130P	250	11108	37	3
7514	8030P	300	11108	18	2
7514	1278P	810	11108	18	3
7596	5049Z	01	11108	20	1
7596	5049Z	01	11108	16	2
7596	5049Z	01	11108	24	3
7346	0344B	100	11108	36	2
7346	0083B	225	11108	8	3
7382	9582Q	45	11108	6	2
7382	0344B	100	11108	32	3
7383	0405B	140	11108	6	1
7383	0287B	100	11108	10	2
7383	0233B	300	11108	20	3
7383	0405B	140	11108	8	3
7400	0080B	603	11108	14	1
7400	1278P	810	11108	52	3
6112	3781N	10	11108	12	2
6112	9722K	34	11108	6	3
5853	0376B	600	11108	13	2
6010	1130P	251	11108	20	1
6010	6947C	199	11108	20	2
6010	1130P	251	11108	14	3
6014	1172P	112	11108	16	1
6014	1172P	112	11108	20	3
6035	1222P	111	11108	7	2
6877	7914C	101	11108	28	2
6877	0287B	100	11108	8	3
6914	1278P	810	11108	16	1
6914	0344B	120	11108	12	2
6914	0287B	120	11108	12	3
6923	9521Q	10	11108	1	1
6923	1028P	920	11108	22	1
6923	9521Q	21	11108	3	2
6923	1130P	920	11108	1	3
5614	1139P	100	11108	56	3
5621	0344B	120	11108	25	1
5621	1139P	120	11108	3	1
5621	0080B	203	11108	10	2
5621	0080B	201	11108	19	3
5621	1222P	111	11108	2	3
6216	1130P	250	11108	2	1
6216	1130P	250	11108	4	2
6220	1139P	100	11108	56	3
6812	3907N	10	11108	21	1
6812	0080B	920	11108	2	2
6812	5058Z	03	11108	15	2
6812	5058Z	04	11108	2	3
6825	1278P	810	11108	35	1
6825	3903N	10	11108	4	2
6825	3907N	10	11108	13	3
6846	1028P	930	11108	28	1
6846	1222P	930	11108	19	2
6846	9510Q	90	11108	12	3
6988	9590Q	61	11108	3	1
6988	9590Q	61	11108	3	3
6988	0287B	110	11108	10	3
6997	0287B	110	11108	55	1
6997	9567Q	93	11108	8	3
6998	5041Z	09	11108	3	2
6998	5058Z	03	11108	8	3
7291	5058Z	06	11108	28	2
8026	3907N	10	11108	8	1
8026	1130P	121	11108	8	2
8056	1278P	810	11108	24	2
8056	3903N	10	11108	12	3
7615	1130P	250	11108	16	1
7615	0287B	100	11108	42	3
7659	0344B	120	11108	7	1
7659	0344B	120	11108	17	2
7659	3907N	10	11108	12	3
7809	1278P	810	11108	28	1
7809	0507B	100	11108	16	2
7809	0506B	100	11108	20	3
7897	1278P	920	11108	56	2
